"","X","Site","Plot","Success","Diversity","Year","Month","Season","CoreSection_cm","TotalSoilWeight_g","RockVolume_cm3","RockMass_g","RootMass_g","WetSoilWeight_g","DrySoilWeight_g","Moisture_g","SectionLength_cm","BulkDensity_g_cm3","BiomassC","Respiration","NO2_NO3","NH4","TIN","BiomassN","Mineralization","Nitrification","DEA","TotalSoilN_percent","TotalSoilN","TotalSoilC_percent","TotalSoilC","success","diversity","Obs","coresection"
"1",1,"Alley Pond",1,"Low","Low",2018,7,"Summer","0-10",40.57,4,3.038,0.122,0.761,0.73,0.040735874,10,0.440392838,359.2255726,11.82886115,8.123059679,-0.301601543,7.821458136,19.08735243,-1.110176751,-1.267514073,224.1949335,0.0905,0.000905,2.547,0.02547,0,0,1,1
"2",2,"Alley Pond",1,"Low","Low",2018,7,"Summer","10--30",34.2,1.5,8.321,0.008,0.696,0.674,0.031609195,5.6,0.540261382,142.1988601,4.154247628,5.388554088,-0.418913073,4.969641015,-3.184694582,0.087399603,0.064755602,8.857748479,0.0865,0.000865,2.8335,0.028335,0,0,2,2
"3",3,"Alley Pond",1,"Low","Low",2018,7,"Summer","0-10",47.1,2.5,4.018,0.215,0.692,0.627,0.093930636,10,0.468033661,343.4637758,9.503624699,13.66379914,-0.439149784,13.22464936,21.82740109,1.072070033,0.108565521,1092.767997,0.1345,0.001345,1.965,0.01965,0,0,3,1
"4",4,"Alley Pond",1,"Low","Low",2018,7,"Summer","10--30",99.37,5.5,14.861,0.009,0.749,0.712,0.049399199,16.8,0.581576356,129.4867025,5.706112462,0.098955401,-0.430154217,-0.331198816,0.773407455,0.084898427,0.012279334,-1.560945878,0.041,0.00041,0.5,0.005,0,0,4,2
"5",5,"Alley Pond",2,"Low","Low",2018,7,"Summer","0-10",45.7,2.5,6.145,0.103,0.73,0.652,0.106849315,10,0.424606181,352.1543879,4.805723538,3.664778038,-0.32546584,3.339312198,34.8882173,-0.158671324,-0.366702003,851.2575879,0.323,0.00323,4.8755,0.048755,0,0,5,1
"6",6,"Alley Pond",2,"Low","Low",2018,7,"Summer","10--30",15.76,1.5,3.451,0,1.413,1.311,0.072186837,2.5,0.574711541,268.4337198,7.801523609,0.349279344,-0.634084847,-0.284805503,4.455390336,0.198708808,-0.054986665,NA,0.1395,0.001395,2.893,0.02893,0,0,6,2
"7",7,"Alley Pond",2,"Low","Low",2018,7,"Summer","0-10",39.49,2,4.379,0.144,0.801,0.71,0.11360799,10,0.371251273,248.601983,8.012880105,0.976277373,-0.410228786,0.566048587,11.19491355,0.150001161,-0.042574391,0.151487456,0.31,0.0031,4.9895,0.049895,0,0,7,1
"8",8,"Alley Pond",2,"Low","Low",2018,7,"Summer","10--30",40.92,5,10.211,0.001,1.168,1.111,0.04880137,7.5,0.49411265,177.9675913,5.253587214,8.358606022,NA,NA,44.82958368,NA,0.410989179,13.35735059,0.0905,0.000905,2.1565,0.021565,0,0,8,2
"9",9,"Alley Pond",3,"Low","High",2018,7,"Summer","0-10",37.09,0.8,1.517,0.347,0.993,0.885,0.108761329,10,0.370717569,413.317648,11.76007763,-0.09169314,-0.287183962,-0.378877102,12.7498899,0.263143085,0.012237044,1787.591435,0.3975,0.003975,6.301,0.06301,0,1,9,1
"10",10,"Alley Pond",3,"Low","High",2018,7,"Summer","10--30",44.58,4,9.824,0.018,1.031,0.982,0.047526673,8.4,0.487946797,131.3431916,8.546977912,8.694294481,-0.420758032,8.273536449,9.014808678,0.595668373,0.423386952,-7.500278781,0.14,0.0014,3.2685,0.032685,0,1,10,2
"11",11,"Alley Pond",3,"Low","High",2018,7,"Summer","0-10",38.53,1,2.409,0.112,0.961,0.836,0.130072841,10,0.370771745,260.5576237,9.018498565,2.779424889,-0.263066259,2.51635863,13.24927135,0.261996764,0.001078482,839.047152,0.465,0.00465,6.8105,0.068105,0,1,11,1
"12",12,"Alley Pond",3,"Low","High",2018,7,"Summer","10--30",64.2,2.5,6.292,0.031,1.646,1.582,0.038882139,10.2,0.656777975,175.7721231,5.77774009,14.80959985,-0.222567951,14.5870319,29.4097359,1.840374251,0.215757008,5.140660669,0.0635,0.000635,2.1625,0.021625,0,1,12,2
"13",13,"Alley Pond",4,"Low","High",2018,7,"Summer","0-10",51.86,2,4.59,0.122,1.598,1.424,0.108886108,10,0.503245888,413.5859098,7.754834099,10.62586183,6.101828065,16.7276899,18.60873825,-1.536808266,-1.03728753,626.5127791,0.271,0.00271,4.333,0.04333,0,1,13,1
"14",14,"Alley Pond",4,"Low","High",2018,7,"Summer","10--30",33.27,4,8.98,0.001,1.82,1.705,0.063186813,5.5,0.528952538,139.9185684,8.125586247,2.498805975,12.82666354,15.32546951,6.829482885,-1.153428865,0.029099425,33.49747327,0.13,0.0013,2.591,0.02591,0,1,14,2
"15",15,"Alley Pond",4,"Low","High",2018,7,"Summer","0-10",35.25,1,2.091,0.172,1.861,1.653,0.111767867,10,0.34680231,240.0491435,8.063904705,0.317964801,-0.373901802,-0.055937001,51.1323958,0.163891712,-0.039551384,1044.576959,0.44,0.0044,6.648,0.06648,0,1,15,1
"16",16,"Alley Pond",4,"Low","High",2018,7,"Summer","10--30",89.06,7,15.953,0.095,1.868,1.802,0.035331906,14.8,0.589293299,87.89066952,2.926210281,3.499456428,0.131362218,3.630818646,21.84758588,1.46018165,-0.35393561,1.526309699,0.0575,0.000575,1.374,0.01374,0,1,16,2
"17",17,"Canarsie",5,"Low","High",2018,6,"Summer","0-10",63.3,11,22.23,0.005,1.158,1.038,0.103626943,10,0.494177597,334.2936681,21.93479692,2.920864366,2.105356134,5.0262205,-0.379257528,-0.606592699,-0.543275094,-11.57933373,0.086,0.00086,1.8805,0.018805,0,1,17,1
"18",18,"Canarsie",5,"Low","High",2018,6,"Summer","10--30",145.18,26,29.15,0.003,2.096,1.906,0.090648855,20,0.727785762,109.0397282,8.015506336,-3.041135661,1.51768246,-1.523453201,-1.865892302,-0.233674421,-0.151519439,-2.950688744,0.035,0.00035,1.461,0.01461,0,1,18,2
"19",19,"Canarsie",5,"Low","High",2018,6,"Summer","30-70",37.15,4.5,8.625,0,1.092,1.033,0.054029304,3.9,0.935647089,210.1996894,7.517708692,-3.261152282,1.035817539,-2.225334743,55.60533019,0.037541126,-0.124637497,10.58830315,0.0365,0.000365,1.254,0.01254,0,1,19,3
"20",20,"Canarsie",5,"Low","High",2018,6,"Summer","0-10",49.15,3,5.945,0.046,0.703,0.593,0.156472262,10,0.441354811,270.9843671,27.08686938,30.80443435,0.015021461,30.81945581,9.745994166,-0.162903831,-0.531209352,-17.50906961,0.076,0.00076,1.8935,0.018935,0,1,20,1
