<<<<<<< HEAD
"","...1","Site","Plot","Success","Diversity","Year","Month","Season","CoreSection_cm","TotalSoilWeight_g","RockVolume_cm3","RockMass_g","RootMass_g","WetSoilWeight_g","DrySoilWeight_g","Moisture_g","SectionLength_cm","BulkDensity_g_cm3","BiomassC","Respiration","NO2_NO3","NH4","TIN","BiomassN","Mineralization","Nitrification","DEA","TotalSoilN_percent","TotalSoilN","TotalSoilC_percent","TotalSoilC","success","diversity","Obs"
"1",1,"Alley Pond",1,"Low","Low",2018,7,"Summer","0-10",40.57,4,3.038,0.122,0.761,0.73,0.040735874,10,0.440392838,359.2255726,11.82886115,8.123059679,-0.301601543,7.821458136,19.08735243,-1.110176751,-1.267514073,224.1949335,0.0905,0.000905,2.547,0.02547,0,0,1
"2",3,"Alley Pond",1,"Low","Low",2018,7,"Summer","0-10",47.1,2.5,4.018,0.215,0.692,0.627,0.093930636,10,0.468033661,343.4637758,9.503624699,13.66379914,-0.439149784,13.22464936,21.82740109,1.072070033,0.108565521,1092.767997,0.1345,0.001345,1.965,0.01965,0,0,3
"3",5,"Alley Pond",2,"Low","Low",2018,7,"Summer","0-10",45.7,2.5,6.145,0.103,0.73,0.652,0.106849315,10,0.424606181,352.1543879,4.805723538,3.664778038,-0.32546584,3.339312198,34.8882173,-0.158671324,-0.366702003,851.2575879,0.323,0.00323,4.8755,0.048755,0,0,5
"4",7,"Alley Pond",2,"Low","Low",2018,7,"Summer","0-10",39.49,2,4.379,0.144,0.801,0.71,0.11360799,10,0.371251273,248.601983,8.012880105,0.976277373,-0.410228786,0.566048587,11.19491355,0.150001161,-0.042574391,0.151487456,0.31,0.0031,4.9895,0.049895,0,0,7
"5",9,"Alley Pond",3,"Low","High",2018,7,"Summer","0-10",37.09,0.8,1.517,0.347,0.993,0.885,0.108761329,10,0.370717569,413.317648,11.76007763,-0.09169314,-0.287183962,-0.378877102,12.7498899,0.263143085,0.012237044,1787.591435,0.3975,0.003975,6.301,0.06301,0,1,9
"6",11,"Alley Pond",3,"Low","High",2018,7,"Summer","0-10",38.53,1,2.409,0.112,0.961,0.836,0.130072841,10,0.370771745,260.5576237,9.018498565,2.779424889,-0.263066259,2.51635863,13.24927135,0.261996764,0.001078482,839.047152,0.465,0.00465,6.8105,0.068105,0,1,11
"7",13,"Alley Pond",4,"Low","High",2018,7,"Summer","0-10",51.86,2,4.59,0.122,1.598,1.424,0.108886108,10,0.503245888,413.5859098,7.754834099,10.62586183,6.101828065,16.7276899,18.60873825,-1.536808266,-1.03728753,626.5127791,0.271,0.00271,4.333,0.04333,0,1,13
"8",15,"Alley Pond",4,"Low","High",2018,7,"Summer","0-10",35.25,1,2.091,0.172,1.861,1.653,0.111767867,10,0.34680231,240.0491435,8.063904705,0.317964801,-0.373901802,-0.055937001,51.1323958,0.163891712,-0.039551384,1044.576959,0.44,0.0044,6.648,0.06648,0,1,15
"9",17,"Canarsie",5,"Low","High",2018,6,"Summer","0-10",63.3,11,22.23,0.005,1.158,1.038,0.103626943,10,0.494177597,334.2936681,21.93479692,2.920864366,2.105356134,5.0262205,-0.379257528,-0.606592699,-0.543275094,-11.57933373,0.086,0.00086,1.8805,0.018805,0,1,17
"10",20,"Canarsie",5,"Low","High",2018,6,"Summer","0-10",49.15,3,5.945,0.046,0.703,0.593,0.156472262,10,0.441354811,270.9843671,27.08686938,30.80443435,0.015021461,30.81945581,9.745994166,-0.162903831,-0.531209352,-17.50906961,0.076,0.00076,1.8935,0.018935,0,1,20
