"","...1","Site","Plot","Success","Diversity","Year","Month","Season","CoreSection_cm","TotalSoilWeight_g","RockVolume_cm3","RockMass_g","RootMass_g","WetSoilWeight_g","DrySoilWeight_g","Moisture_g","SectionLength_cm","BulkDensity_g_cm3","BiomassC","Respiration","NO2_NO3","NH4","TIN","BiomassN","Mineralization","Nitrification","DEA","TotalSoilN_percent","TotalSoilN","TotalSoilC_percent","TotalSoilC","success","diversity","Obs"
"1",19,"Canarsie",5,"Low","High",2018,6,"Summer","30-70",37.15,4.5,8.625,0,1.092,1.033,0.054029304,3.9,0.935647089,210.1996894,7.517708692,-3.261152282,1.035817539,-2.225334743,55.60533019,0.037541126,-0.124637497,10.58830315,0.0365,0.000365,1.254,0.01254,0,1,19
"2",22,"Canarsie",5,"Low","High",2018,6,"Summer","30-70",156.137,18,29.622,0,2.384,2.205,0.075083893,19.6,0.782433912,75.37301275,6.551024152,1.414712396,0.933897971,2.348610366,29.89774321,-0.196410296,-0.260790359,-4.80510722,0.0495,0.000495,1.4255,0.014255,0,1,22
"3",29,"Canarsie",7,"Low","Low",2018,6,"Summer","30-70",90.44,13,24.8,0,1.592,1.492,0.06281407,11.7,0.706934572,103.4279805,5.567815413,-5.067975195,0.018946758,-5.049028437,14.27353498,0.13328382,0.014646461,-2.299811057,0.035,0.00035,1.246,0.01246,0,0,29
"4",38,"Clearview",9,"Low","Low",2018,7,"Summer","30-70",297.505,10.5,24.337,0,1.96,1.812,0.075510204,40,0.761937174,114.7463786,6.098439497,3.397810547,0.849242434,4.247052981,3.870268291,-0.081941306,-0.124602642,0.634636463,0.025,0.00025,0.258,0.00258,0,0,38
"5",39,"Clearview",9,"Low","Low",2018,7,"Summer","70-90",94.962,3,5.712,0,2.075,1.915,0.077108434,12,0.82712321,139.11851,4.873692354,1.591825763,9.0638557,10.65568146,10.89170121,0.156137277,-0.044542615,0.302817088,0.0245,0.000245,0.2975,0.002975,0,0,39
"6",42,"Clearview",10,"Low","High",2018,7,"Summer","30-60",220.724,12,24.446,0,2.14,2.044,0.044859813,30,0.76688779,115.760853,4.100149218,1.506146276,0.218579357,1.724725633,1.728842114,-0.018974498,-0.073239129,0.335259093,0.017,0.00017,0.135,0.00135,0,1,42
"7",43,"Clearview",10,"Low","High",2018,7,"Summer","60-80",129.358,5.5,14.118,0,2.001,1.894,0.053473263,16.5,0.804688664,155.551306,4.000862285,2.269000194,0.284817736,2.55381793,1.721487025,-0.107354312,-0.164374063,1.289169623,0.028,0.00028,0.468,0.00468,0,1,43
"8",46,"Clearview",10,"Low","High",2018,7,"Summer","30-70",278.03,12,22.981,0,2.116,1.967,0.070415879,40,0.718570616,88.99364113,3.090067661,1.668335078,0.138638892,1.806973971,1.432212927,0.659007121,-0.061631325,0.204600461,0.025,0.00025,0.2385,0.002385,0,1,46
"9",47,"Clearview",10,"Low","High",2018,7,"Summer","70-90",105.56,3,6.632,0,2.03,1.854,0.086699507,14,0.77434127,112.3723536,3.674473035,2.525359725,1.036033122,3.561392847,1.18475433,-0.249190324,-0.19123271,184.7085732,0.0275,0.000275,0.292,0.00292,0,1,47
"10",52,"Clearview",11,"Low","High",2018,7,"Summer","30-70",297.032,7,14.671,0,2.136,1.932,0.095505618,40,0.762492874,101.6454347,3.899186998,2.84492236,0.948067856,3.792990215,1.920080676,-0.185406272,-0.123753118,-15.00905911,0.044,0.00044,0.401,0.00401,0,1,52
